iteration,seed,fold,val_ndcg@10,best_iteration,num_trees
0,42,1,0.49343498575264494,27,27
0,42,2,0.47825934012993965,10,10
0,42,3,0.48217108519462065,23,23
0,42,4,0.4798236115108332,33,33
0,42,5,0.4841080965460485,14,14
1,43,1,0.48416026212993196,14,14
1,43,2,0.48238816006375285,19,19
1,43,3,0.4864667811326299,33,33
1,43,4,0.4759470094220969,24,24
1,43,5,0.4884494604164126,29,29
2,44,1,0.4955763328324213,25,25
2,44,2,0.48726792315028233,26,26
2,44,3,0.4847625432744347,21,21
2,44,4,0.4681023745891939,11,11
2,44,5,0.4920233501231515,34,34
3,45,1,0.4908703285973101,20,20
3,45,2,0.4833952240176581,16,16
3,45,3,0.48865824433857064,31,31
3,45,4,0.47208294647882804,14,14
3,45,5,0.4836505518631143,19,19
4,46,1,0.480076945553092,7,7
4,46,2,0.4808046682196596,12,12
4,46,3,0.4764426398586212,11,11
4,46,4,0.48308359623376784,38,38
4,46,5,0.4802474706042626,13,13
5,47,1,0.4766495458991411,8,8
5,47,2,0.484432188508287,19,19
5,47,3,0.48760088038642774,32,32
5,47,4,0.47806730963909866,26,26
5,47,5,0.4806826183774864,14,14
6,48,1,0.48685487777051845,15,15
6,48,2,0.47888286607198816,12,12
6,48,3,0.48839169429364687,31,31
6,48,4,0.4820510344455276,34,34
6,48,5,0.48324726181643074,18,18
7,49,1,0.485823052014839,14,14
7,49,2,0.4917245898432556,33,33
7,49,3,0.4793370986659364,15,15
7,49,4,0.477952727854336,29,29
7,49,5,0.4847027935504119,20,20
8,50,1,0.4746812977281099,7,7
8,50,2,0.47793838422116475,8,8
8,50,3,0.48366433003084064,20,20
8,50,4,0.47716391392034857,29,29
8,50,5,0.4892010804225794,26,26
9,51,1,0.4800934540798821,9,9
9,51,2,0.4928079535506359,36,36
9,51,3,0.46670856990027243,7,7
9,51,4,0.4769512796396765,23,23
9,51,5,0.4895321483403605,26,26
10,52,1,0.4919393009469909,22,22
10,52,2,0.4864999311457293,27,27
10,52,3,0.48634167567499664,23,23
10,52,4,0.47855724897251484,28,28
10,52,5,0.4866008630623997,23,23
11,53,1,0.4881189487589195,17,17
11,53,2,0.4908689983882131,33,33
11,53,3,0.4844339350436588,21,21
11,53,4,0.4755887641092329,17,17
11,53,5,0.4819478966106673,17,17
12,54,1,0.4874364710283997,19,19
12,54,2,0.4873574602895293,24,24
12,54,3,0.4718963930609228,9,9
12,54,4,0.47902974265703874,29,29
12,54,5,0.48852917265292806,28,28
13,55,1,0.49466080281823926,26,26
13,55,2,0.476838370951521,9,9
13,55,3,0.4864623738990713,26,26
13,55,4,0.47603744515557794,17,17
13,55,5,0.4815470645885974,13,13
14,56,1,0.49440668213834743,26,26
14,56,2,0.4860667904691527,24,24
14,56,3,0.48626064393020446,21,21
14,56,4,0.46128880104076336,6,6
14,56,5,0.48044534799574534,11,11
15,57,1,0.485936516909851,17,17
15,57,2,0.47994340683079467,16,16
15,57,3,0.47852090464793623,12,12
15,57,4,0.47797733168166473,22,22
15,57,5,0.4844128014947056,18,18
16,58,1,0.4908940007427782,22,22
16,58,2,0.493386651763043,32,32
16,58,3,0.48616544055980593,21,21
16,58,4,0.47948795462695293,31,31
16,58,5,0.4857481295825296,19,19
17,59,1,0.49164512853214604,23,23
17,59,2,0.48857136062318607,22,22
17,59,3,0.4831683517694238,23,23
17,59,4,0.477602847204873,24,24
17,59,5,0.4926692191282088,33,33
18,60,1,0.48948476237709815,22,22
18,60,2,0.48335330260943343,22,22
18,60,3,0.48253325073722864,18,18
18,60,4,0.4633119413913107,9,9
18,60,5,0.4841453704127257,18,18
19,61,1,0.4854901887540544,12,12
19,61,2,0.47013363034773065,6,6
19,61,3,0.4725347716479396,8,8
19,61,4,0.4729299721136917,15,15
19,61,5,0.4839246142518063,20,20
20,62,1,0.48168095158682167,11,11
20,62,2,0.480216082189557,15,15
20,62,3,0.48569083962056453,22,22
20,62,4,0.4717718444358598,15,15
20,62,5,0.4857728186577716,17,17
21,63,1,0.4878423035862433,15,15
21,63,2,0.4772542769465505,15,15
21,63,3,0.48308808817845417,19,19
21,63,4,0.46798940348767354,11,11
21,63,5,0.4846757097198041,22,22
22,64,1,0.4885949161238513,19,19
22,64,2,0.49329397277792086,36,36
22,64,3,0.488293330702186,27,27
22,64,4,0.4731514603219119,19,19
22,64,5,0.4874360519466649,19,19
23,65,1,0.4860395257457371,13,13
23,65,2,0.4852429086158756,20,20
23,65,3,0.4867172836652048,26,26
23,65,4,0.48468732362756706,42,42
23,65,5,0.4868017161492649,21,21
24,66,1,0.4946614304638164,27,27
24,66,2,0.4756272105847506,11,11
24,66,3,0.4786410931698638,11,11
24,66,4,0.4773928164003389,25,25
24,66,5,0.4800451997744168,13,13
25,67,1,0.4866656568326635,15,15
25,67,2,0.48470188823691873,22,22
25,67,3,0.48334999010945245,16,16
25,67,4,0.4740812649829943,19,19
25,67,5,0.4824724439270214,15,15
26,68,1,0.4962648214544299,26,26
26,68,2,0.48637660610120703,20,20
26,68,3,0.4849947435400542,22,22
26,68,4,0.4706170344939971,14,14
26,68,5,0.48275134344326226,17,17
27,69,1,0.49347272278715754,25,25
27,69,2,0.4875440845349707,23,23
27,69,3,0.48453506454092915,25,25
27,69,4,0.4617988393997144,8,8
27,69,5,0.4825759715760705,15,15
28,70,1,0.48489056957968596,13,13
28,70,2,0.481166040398004,13,13
28,70,3,0.4741707245266867,9,9
28,70,4,0.4685227088769214,9,9
28,70,5,0.4744424641546672,8,8
29,71,1,0.48559515441385853,15,15
29,71,2,0.4861247811641249,21,21
29,71,3,0.4810463026682041,15,15
29,71,4,0.475789668718664,18,18
29,71,5,0.4835726057520057,17,17
30,72,1,0.49451433481032875,33,33
30,72,2,0.4960646473773595,44,44
30,72,3,0.4811941153151742,18,18
30,72,4,0.4725609509612925,18,18
30,72,5,0.47890656465061,13,13
31,73,1,0.4782932969470461,6,6
31,73,2,0.4875236962007165,25,25
31,73,3,0.47187194357570855,10,10
31,73,4,0.4774370974876961,23,23
31,73,5,0.4754028802100671,10,10
32,74,1,0.48987662707360813,22,22
32,74,2,0.48256404699339356,17,17
32,74,3,0.48554891486975676,21,21
32,74,4,0.47219705903451414,21,21
32,74,5,0.4805939277529651,17,17
33,75,1,0.492136943350113,23,23
33,75,2,0.4831481527125527,17,17
33,75,3,0.47928136355231266,13,13
33,75,4,0.4735509353989318,19,19
33,75,5,0.49215137961366495,37,37
34,76,1,0.48646760057034516,15,15
34,76,2,0.471992296280585,6,6
34,76,3,0.4812489527660934,20,20
34,76,4,0.46627626930953847,12,12
34,76,5,0.48058853913324134,13,13
35,77,1,0.4850613586604983,15,15
35,77,2,0.48192475122354317,15,15
35,77,3,0.48488162505414334,23,23
35,77,4,0.47665037662732285,17,17
35,77,5,0.48315554461781357,17,17
36,78,1,0.4816659658154678,8,8
36,78,2,0.4825367821777073,17,17
36,78,3,0.48514600913597833,23,23
36,78,4,0.4752562047856331,24,24
36,78,5,0.4789294075584806,11,11
37,79,1,0.4899405614037063,19,19
37,79,2,0.4886161735411756,26,26
37,79,3,0.48077092298464774,16,16
37,79,4,0.4767286375293867,25,25
37,79,5,0.4816981741946758,16,16
38,80,1,0.4920323595890669,19,19
38,80,2,0.48301552996424724,16,16
38,80,3,0.4852319663146016,28,28
38,80,4,0.4710477664494043,14,14
38,80,5,0.48934850299588256,23,23
39,81,1,0.49280443327034845,23,23
39,81,2,0.48744004388772183,26,26
39,81,3,0.4773134980036682,10,10
39,81,4,0.4765621727660667,27,27
39,81,5,0.4781869770528545,10,10
40,82,1,0.48574886144851814,13,13
40,82,2,0.48703951458109546,21,21
40,82,3,0.4829090131230613,20,20
40,82,4,0.4741696995947366,21,21
40,82,5,0.4918851231498751,28,28
41,83,1,0.4871348981780091,14,14
41,83,2,0.4848350321011852,21,21
41,83,3,0.4805633115097496,18,18
41,83,4,0.4754184819756074,21,21
41,83,5,0.4872458448230533,25,25
42,84,1,0.48197088685716094,14,14
42,84,2,0.48869100844354507,33,33
42,84,3,0.4771873791564779,14,14
42,84,4,0.463734791976889,9,9
42,84,5,0.47969263913335686,12,12
43,85,1,0.4924583948407445,22,22
43,85,2,0.4885043772964302,26,26
43,85,3,0.4805701729854385,15,15
43,85,4,0.47425716638093457,20,20
43,85,5,0.48079656863427583,15,15
44,86,1,0.4869145642946752,18,18
44,86,2,0.4826218409442544,25,25
44,86,3,0.4798637360180896,20,20
44,86,4,0.47114389928455647,18,18
44,86,5,0.4898348038649309,32,32
45,87,1,0.48732008645948166,20,20
45,87,2,0.48881999162782686,33,33
45,87,3,0.486559934559307,30,30
45,87,4,0.48173786996430534,42,42
45,87,5,0.493664026765759,40,40
46,88,1,0.4970712467042311,37,37
46,88,2,0.4870350942511349,25,25
46,88,3,0.4832723353243776,22,22
46,88,4,0.4780201816906073,26,26
46,88,5,0.48011569739975896,15,15
47,89,1,0.4790056263953232,9,9
47,89,2,0.48946098039864266,29,29
47,89,3,0.48167724502625,17,17
47,89,4,0.4763857501265915,24,24
47,89,5,0.49101157559548364,25,25
48,90,1,0.49123399701776044,21,21
48,90,2,0.4862393143959044,24,24
48,90,3,0.48796496698908404,29,29
48,90,4,0.47891703479692793,25,25
48,90,5,0.48887632136963843,23,23
49,91,1,0.48437492076018734,11,11
49,91,2,0.47521949942202507,11,11
49,91,3,0.482639852573241,21,21
49,91,4,0.4812103251321896,35,35
49,91,5,0.4726582802152984,6,6
50,92,1,0.48321285311801443,12,12
50,92,2,0.47699051895584454,13,13
50,92,3,0.48326244492031956,16,16
50,92,4,0.46892164167612305,12,12
50,92,5,0.4850705273116275,24,24
51,93,1,0.49576227719473076,30,30
51,93,2,0.48642777024317335,23,23
51,93,3,0.48504219110547125,25,25
51,93,4,0.47759801669013713,32,32
51,93,5,0.48289129803604586,14,14
52,94,1,0.4931075230202978,24,24
52,94,2,0.48099233379297374,18,18
52,94,3,0.48191321038802964,16,16
52,94,4,0.4728805925695181,18,18
52,94,5,0.4865900149051942,22,22
53,95,1,0.4844099185063048,13,13
53,95,2,0.4862458892176561,24,24
53,95,3,0.47677442823352045,13,13
53,95,4,0.47364100884987137,12,12
53,95,5,0.48359967854557967,14,14
54,96,1,0.4919034126033351,23,23
54,96,2,0.4888830609052303,27,27
54,96,3,0.4893044005625585,28,28
54,96,4,0.4798001294172547,32,32
54,96,5,0.48331943589031273,20,20
55,97,1,0.48121494851466495,10,10
55,97,2,0.4850313495947583,18,18
55,97,3,0.48863675648996163,28,28
55,97,4,0.47314877072026584,18,18
55,97,5,0.47740996666579966,11,11
56,98,1,0.4881357028738689,19,19
56,98,2,0.4857335836326156,21,21
56,98,3,0.4830917289280737,18,18
56,98,4,0.4756898172396719,25,25
56,98,5,0.4792012497179082,11,11
57,99,1,0.4906508796223641,19,19
57,99,2,0.47962698580704977,13,13
57,99,3,0.48151188565468517,13,13
57,99,4,0.4731144784010279,14,14
57,99,5,0.48310372361729137,17,17
58,100,1,0.48609968627634853,15,15
58,100,2,0.48271425113417993,14,14
58,100,3,0.483066429698902,15,15
58,100,4,0.47103772414153045,14,14
58,100,5,0.4815992792791115,13,13
59,101,1,0.4817814042437224,8,8
59,101,2,0.49300657005343135,31,31
59,101,3,0.4823277684471128,16,16
59,101,4,0.47103138746271334,12,12
59,101,5,0.4776155336937261,10,10
60,102,1,0.4858044104501957,16,16
60,102,2,0.4847046885773924,24,24
60,102,3,0.48831256912051496,32,32
60,102,4,0.47378028938342276,16,16
60,102,5,0.48322114510636216,17,17
61,103,1,0.47862370414956296,9,9
61,103,2,0.4837638848859316,26,26
61,103,3,0.47600228736242256,10,10
61,103,4,0.4702532876105686,13,13
61,103,5,0.486069082892532,21,21
62,104,1,0.48743409370561425,17,17
62,104,2,0.48873055675943566,27,27
62,104,3,0.48758618052684727,28,28
62,104,4,0.4736334307491332,17,17
62,104,5,0.4903741228332288,31,31
63,105,1,0.499723366959272,44,44
63,105,2,0.4795624300832291,11,11
63,105,3,0.471605178987933,6,6
63,105,4,0.4805360753658068,31,31
63,105,5,0.48906130300384054,25,25
64,106,1,0.48556250021875297,14,14
64,106,2,0.48854779609350896,25,25
64,106,3,0.48058869536861903,16,16
64,106,4,0.4790421623634297,27,27
64,106,5,0.47816031172560597,9,9
65,107,1,0.4909978133415148,24,24
65,107,2,0.4785264384100843,14,14
65,107,3,0.48351989648991234,18,18
65,107,4,0.46465841168028754,8,8
65,107,5,0.4886421026839942,27,27
66,108,1,0.4815705969597232,10,10
66,108,2,0.480565348227517,11,11
66,108,3,0.479529759176726,14,14
66,108,4,0.47414158560386066,18,18
66,108,5,0.4749108713072516,9,9
67,109,1,0.4955390270219798,31,31
67,109,2,0.4865808331083622,20,20
67,109,3,0.48700074889957234,26,26
67,109,4,0.47374946869229734,19,19
67,109,5,0.4723194080634562,7,7
68,110,1,0.48039904406202805,10,10
68,110,2,0.4805974140588241,15,15
68,110,3,0.4816384171717295,17,17
68,110,4,0.4771429112719977,21,21
68,110,5,0.48115857126618355,10,10
69,111,1,0.4914793750604658,28,28
69,111,2,0.48177215033744053,19,19
69,111,3,0.47987029502359213,11,11
69,111,4,0.47584988986885085,28,28
69,111,5,0.478782749847095,13,13
70,112,1,0.48131332042314295,13,13
70,112,2,0.4886465266502191,31,31
70,112,3,0.4858126679515233,32,32
70,112,4,0.4801273705572068,29,29
70,112,5,0.4842648260705429,18,18
71,113,1,0.4929477655717232,23,23
71,113,2,0.4853714191820604,21,21
71,113,3,0.48575214573009146,24,24
71,113,4,0.4775317124856438,23,23
71,113,5,0.4788448765085447,12,12
72,114,1,0.48406361349366606,13,13
72,114,2,0.46899661849478724,7,7
72,114,3,0.4841862694563416,23,23
72,114,4,0.4707553796196392,15,15
72,114,5,0.4859863682900616,22,22
73,115,1,0.4829717128100629,13,13
73,115,2,0.48258756311121026,18,18
73,115,3,0.4798220833750752,15,15
73,115,4,0.47092169558285163,17,17
73,115,5,0.4874500790919874,28,28
74,116,1,0.4858949520528638,14,14
74,116,2,0.489875604817202,35,35
74,116,3,0.48265586765465873,16,16
74,116,4,0.4742617907667422,16,16
74,116,5,0.4844058197560537,21,21
75,117,1,0.4932708907039438,28,28
75,117,2,0.48570786106280817,20,20
75,117,3,0.4848011803408713,25,25
75,117,4,0.4761601640366845,24,24
75,117,5,0.4776970586397246,9,9
76,118,1,0.47900266136784114,7,7
76,118,2,0.4908147808833518,35,35
76,118,3,0.47399731636197395,8,8
76,118,4,0.4703945472288998,15,15
76,118,5,0.4737527728356989,8,8
77,119,1,0.49158379049040857,20,20
77,119,2,0.48663910873853283,25,25
77,119,3,0.4805379219365624,13,13
77,119,4,0.4806877008960435,29,29
77,119,5,0.4761479904264468,10,10
78,120,1,0.4948537149222929,29,29
78,120,2,0.48203520625169166,19,19
78,120,3,0.4867877111255289,25,25
78,120,4,0.47723489968260296,22,22
78,120,5,0.4755623159262355,9,9
79,121,1,0.48934620238145987,24,24
79,121,2,0.47571100322432086,10,10
79,121,3,0.47955073762577544,15,15
79,121,4,0.47124306166203356,19,19
79,121,5,0.45804015384215224,4,4
80,122,1,0.48121362458398304,9,9
80,122,2,0.4911813427891196,34,34
80,122,3,0.48797126654189904,28,28
80,122,4,0.47592376299098565,26,26
80,122,5,0.47376583416998796,9,9
81,123,1,0.4835241015469191,15,15
81,123,2,0.48658390370266685,21,21
81,123,3,0.4832563650898216,21,21
81,123,4,0.4721189585487817,13,13
81,123,5,0.4796066379984286,13,13
82,124,1,0.4948352131897579,30,30
82,124,2,0.4827245416168359,15,15
82,124,3,0.481853867309318,15,15
82,124,4,0.4739151847483873,15,15
82,124,5,0.4821966706717259,14,14
83,125,1,0.48118804950822847,9,9
83,125,2,0.47485602652718667,8,8
83,125,3,0.4718644858339925,9,9
83,125,4,0.4766312398224675,24,24
83,125,5,0.47716765074183354,10,10
84,126,1,0.48494154638665526,13,13
84,126,2,0.4846794332009992,21,21
84,126,3,0.47803336260765567,11,11
84,126,4,0.4721018868931032,17,17
84,126,5,0.48952386881527743,26,26
85,127,1,0.4805909084373817,9,9
85,127,2,0.490060396646379,31,31
85,127,3,0.4812678519368749,15,15
85,127,4,0.48017417717587074,35,35
85,127,5,0.4743545981956914,9,9
86,128,1,0.49185686537406903,21,21
86,128,2,0.4849403055296281,20,20
86,128,3,0.4858395728463047,22,22
86,128,4,0.47898454781704564,22,22
86,128,5,0.48819375236150087,19,19
87,129,1,0.48685028049082496,15,15
87,129,2,0.48304550330981394,19,19
87,129,3,0.4853942936760027,27,27
87,129,4,0.47314094257816525,16,16
87,129,5,0.4831504189207635,16,16
88,130,1,0.48363755593203234,13,13
88,130,2,0.48725913284764655,32,32
88,130,3,0.4859841943700301,28,28
88,130,4,0.47517621094837525,20,20
88,130,5,0.48927141173222854,27,27
89,131,1,0.4836452347887241,11,11
89,131,2,0.4824300447965309,17,17
89,131,3,0.4866556986908429,28,28
89,131,4,0.46348851196107305,5,5
89,131,5,0.46748144562414723,5,5
90,132,1,0.48295357804926387,9,9
90,132,2,0.48707889492391687,23,23
90,132,3,0.48586224628698244,21,21
90,132,4,0.47159695481228414,14,14
90,132,5,0.4894020114416098,27,27
91,133,1,0.49108634377185456,19,19
91,133,2,0.48435285582223525,18,18
91,133,3,0.4794700376983604,11,11
91,133,4,0.47092834864427763,11,11
91,133,5,0.4815929154333183,13,13
92,134,1,0.4880897638097676,19,19
92,134,2,0.4867199335115004,25,25
92,134,3,0.48795707502215363,30,30
92,134,4,0.4727470470116255,15,15
92,134,5,0.4767964604777301,11,11
93,135,1,0.4934892324216387,26,26
93,135,2,0.4853962141105125,20,20
93,135,3,0.4774787689199875,13,13
93,135,4,0.47699179089233223,23,23
93,135,5,0.49302407354371214,31,31
94,136,1,0.48538110025984466,13,13
94,136,2,0.4825524177472924,15,15
94,136,3,0.46998073974246557,7,7
94,136,4,0.46609319331707416,7,7
94,136,5,0.48305226509445165,15,15
95,137,1,0.4906842697249245,25,25
95,137,2,0.48487677049659966,22,22
95,137,3,0.48281127725792816,17,17
95,137,4,0.4829095276150798,44,44
95,137,5,0.4831244805253445,16,16
96,138,1,0.4884438253019538,13,13
96,138,2,0.48786151454940574,30,30
96,138,3,0.4802099564553839,18,18
96,138,4,0.4689323348666837,11,11
96,138,5,0.4799742224702987,9,9
97,139,1,0.4871465386570933,15,15
97,139,2,0.469321888411701,7,7
97,139,3,0.4644738464494634,5,5
97,139,4,0.4618504967793761,7,7
97,139,5,0.48293192683769315,16,16
98,140,1,0.49744628363208737,37,37
98,140,2,0.4855031612316741,22,22
98,140,3,0.48718866477988043,35,35
98,140,4,0.4833433220554516,41,41
98,140,5,0.4912499022941806,39,39
99,141,1,0.4829612434887161,15,15
99,141,2,0.4904498403809173,29,29
99,141,3,0.4878805337240997,31,31
99,141,4,0.4781159179740598,33,33
99,141,5,0.48118664778960885,19,19
